date,resting_hr,avg_hr,steps,exercise_minutes,active_energy,spo2,sleep_hours,workouts,bedtime_min,wake_min
2025-04-04,51,75,10740,53,729,,7.5,1,595,377
2025-04-05,52,68,12235,53,649,,8.6,1,610,370
2025-04-06,50,71,10873,49,783,,8.5,1,623,375
2025-04-07,50,65,11341,45,694,98,8.6,1,607,376
2025-04-08,50,73,12090,50,797,97,8,0,613,395
2025-04-09,50,75,11887,50,772,,8.1,1,628,390
2025-04-10,50,74,13606,46,672,97,7.9,1,596,386
2025-04-11,54,65,10550,43,759,98,8.4,0,594,368
2025-04-12,49,75,10651,49,707,98,8.2,1,624,389
2025-04-13,54,75,13386,56,753,,8.2,1,614,383
2025-04-14,54,68,13030,55,646,99,7.4,1,621,390
2025-04-15,53,66,10921,59,670,,8,1,628,387
2025-04-17,50,68,10815,50,744,99,7.4,1,610,397
2025-04-18,50,67,13626,47,778,97,8.2,1,617,376
2025-04-19,54,69,10857,62,661,,8.4,1,612,409
2025-04-20,51,70,12152,55,657,,8.5,1,600,386
2025-04-22,51,67,11170,48,654,,8,1,619,373
2025-04-23,49,72,13211,52,721,97,7.4,0,619,383
2025-04-24,53,65,13018,45,731,98,8.2,0,600,384
2025-04-27,53,70,13380,45,652,97,7.5,1,602,368
2025-04-28,53,65,10531,49,698,,7.5,1,625,365
2025-04-29,50,67,12675,59,714,97,7.9,0,597,369
2025-04-30,59,79,8869,28,560,,6.7,0,656,392
2025-05-01,59,74,10172,22,501,,7.5,0,682,405
2025-05-02,57,80,8975,25,397,,6.8,1,623,405
2025-05-03,59,72,9946,31,390,,6.5,1,624,384
2025-05-04,55,79,10295,22,407,,6.5,0,666,386
2025-05-05,55,81,9568,20,504,98,7,0,683,421
2025-05-07,56,71,8599,22,552,,7,1,671,406
2025-05-08,56,74,10206,38,448,97,7.4,0,670,426
2025-05-09,56,80,8541,26,553,97,6.8,0,660,406
2025-05-10,57,73,7891,36,439,98,6.8,1,683,398
2025-05-11,58,70,10135,40,534,,7.1,0,673,387
2025-05-12,57,75,7994,21,400,97,7,0,651,411
2025-05-14,55,73,9049,38,562,97,6.9,1,647,400
2025-05-15,58,76,10292,29,498,97,7.5,0,640,382
2025-05-16,60,78,9611,40,521,96,7.4,1,649,391
2025-05-17,59,78,9837,23,453,,6.7,1,645,414
2025-05-18,56,73,9469,23,530,97,7.7,1,675,381
2025-05-19,58,70,7348,37,450,,7,1,681,390
2025-05-20,60,73,9980,26,475,,7.4,1,616,382
2025-05-21,58,73,9430,37,513,97,6.7,1,615,424
2025-05-22,59,76,7302,30,411,,7.4,1,630,384
2025-05-23,58,76,9347,37,440,,6.9,0,649,397
2025-05-24,58,70,7302,28,433,,7.7,0,635,398
2025-05-25,58,71,7639,28,463,,6.7,1,668,395
2025-05-26,56,80,10468,34,467,,6.6,0,649,425
2025-05-27,59,70,10683,21,419,97,6.7,0,656,418
2025-05-29,59,75,9921,26,541,,7.5,0,650,383
2025-05-31,59,71,8301,23,428,,7.3,0,658,408
2025-06-01,56,73,10727,29,411,96,6.8,1,670,388
2025-06-02,60,77,8945,27,491,,7.4,0,631,415
2025-06-03,57,77,9980,31,485,,6.9,0,615,416
2025-06-05,60,78,7389,26,549,97,7.5,0,660,384
2025-06-06,58,75,8650,34,433,97,7.1,0,661,424
2025-06-07,56,75,10778,26,465,,6.7,1,679,402
2025-06-08,61,71,9438,26,413,,6.9,1,660,411
2025-06-09,59,72,7500,36,548,,7.7,0,649,383
2025-06-11,56,78,9899,22,551,97,7.2,0,619,415
2025-06-12,56,74,10636,23,475,,7.4,0,680,409
2025-06-14,59,78,8026,39,569,,7.6,1,671,383
2025-06-15,59,73,7445,36,447,96,7.7,1,637,407
2025-06-16,56,82,9993,39,475,96,7.1,0,638,410
2025-06-17,57,73,9927,39,497,97,6.8,1,647,398
2025-06-19,57,76,9242,34,421,96,7.3,0,642,397
2025-06-20,56,72,7860,24,565,97,7.6,0,679,405
2025-06-21,59,78,8710,40,475,,7.6,1,649,393
2025-06-22,60,72,8976,24,398,97,7.6,0,677,430
2025-06-23,57,80,10738,36,529,,6.8,0,671,415
2025-06-24,56,74,7556,26,421,,6.9,0,673,427
2025-06-25,56,77,10236,28,406,97,7.1,1,662,412
2025-06-26,59,77,10724,32,422,,6.8,1,638,403
2025-06-27,60,75,9485,32,558,97,6.5,0,647,389
2025-06-28,56,77,9689,38,462,97,7.1,0,623,405
2025-06-29,58,81,10568,28,444,,7.5,0,635,381
2025-06-30,60,75,8933,36,412,,6.7,1,616,422
2025-07-01,59,78,8960,24,513,,6.7,1,667,391
2025-07-02,57,80,8537,24,537,96,6.5,0,635,420
2025-07-03,56,81,10518,21,442,97,7,0,639,429
2025-07-04,61,73,10835,27,468,,7.2,0,661,426
2025-07-05,59,78,9406,30,457,,7.3,1,632,406
2025-07-06,58,79,10643,38,528,96,6.8,1,661,414
2025-07-08,60,74,7537,32,433,96,7.3,1,631,384
2025-07-09,58,72,9864,29,401,97,7.1,1,659,410
2025-07-10,59,78,9065,32,534,,7.6,1,676,383
2025-07-11,60,77,7770,36,414,,6.9,0,660,398
2025-07-12,56,81,8822,30,559,96,6.9,0,644,430
2025-07-13,55,76,8544,29,409,97,6.9,0,617,427
2025-07-14,60,71,10635,39,525,96,7.5,1,656,384
2025-07-16,57,75,9181,30,436,96,7,0,623,397
2025-07-17,57,71,8711,21,404,98,7.6,1,661,410
2025-07-18,59,73,10196,34,491,98,7.3,1,635,385
2025-07-19,59,72,7558,22,536,97,6.6,0,618,411
2025-07-20,59,78,8843,22,516,96,7.1,0,637,390
2025-07-21,56,75,9142,21,513,,7.6,0,613,391
2025-07-22,55,76,7556,23,565,,7.5,1,681,419
2025-07-23,56,80,8674,28,508,,6.7,0,617,387
2025-07-24,56,79,9837,30,396,96,7.6,0,620,393
2025-07-25,57,78,7477,33,497,,6.6,0,667,425
2025-07-26,58,78,9548,23,453,,7.5,0,623,412
2025-07-27,60,71,7572,40,442,97,7.7,1,616,401
2025-07-28,59,79,9988,20,482,97,7.5,0,642,426
2025-07-29,58,73,7659,31,435,,7,1,662,415
2025-07-30,58,76,10511,26,514,,7.2,0,659,381
2025-07-31,57,79,9425,38,551,,6.7,1,632,419
2025-08-01,58,76,7897,31,472,97,7.7,1,668,381
2025-08-02,58,82,8875,32,455,,7.6,0,664,427
2025-08-03,59,75,7470,23,483,96,7.5,1,649,428
2025-08-04,59,74,9634,31,476,,6.8,0,622,407
2025-08-05,57,75,9716,21,559,,6.7,1,654,404
2025-08-06,59,78,8180,22,419,,7.2,0,657,388
2025-08-08,57,72,8099,27,556,96,7.4,0,679,427
2025-08-09,57,80,10650,20,500,,6.7,1,624,424
2025-08-10,61,70,8295,32,545,97,7.4,0,633,422
2025-08-11,57,72,7767,25,532,97,6.6,1,616,414
2025-08-12,56,72,7927,30,473,98,7.2,1,616,408
2025-08-13,58,81,8034,21,404,,7.6,0,665,388
2025-08-14,59,77,10150,25,553,,7.1,1,642,401
2025-08-15,56,76,7951,25,424,,7,0,665,388
2025-08-16,56,74,9866,22,422,,7.6,0,617,406
2025-08-17,57,71,10590,34,485,,6.9,1,645,407
2025-08-19,56,80,7585,24,465,,7,0,624,419
2025-08-20,58,75,8192,30,420,,6.8,1,663,408
2025-08-21,58,72,9910,23,492,97,6.7,1,653,401
2025-08-22,56,70,10357,26,489,97,7,1,640,384
2025-08-23,56,72,7383,31,517,96,6.7,0,650,391
2025-08-24,58,77,7509,30,512,,7.3,0,628,410
2025-08-25,57,76,8588,23,568,,7.5,0,647,426
2025-08-26,60,79,7688,28,432,,6.5,0,666,399
2025-08-27,58,74,9925,23,396,,6.9,1,650,407
2025-08-28,59,74,7358,36,481,,7.6,0,659,401
2025-08-29,60,76,7817,27,426,98,7.2,1,659,381
2025-08-30,61,81,8625,23,492,98,7,0,647,425
2025-08-31,57,71,10754,35,540,,7.1,0,645,417
2025-09-01,56,74,10522,37,549,97,6.5,0,653,413
2025-09-03,59,74,9857,38,400,,7.4,1,628,422
2025-09-04,58,81,8992,27,432,,6.6,0,613,424
2025-09-05,55,78,10789,21,488,98,6.7,0,652,390
2025-09-06,59,74,9213,24,405,,7.1,0,642,384
2025-09-08,59,73,8604,29,461,,7.3,1,625,392
2025-09-09,60,76,9458,32,455,97,7.2,0,648,416
2025-09-10,58,82,9484,30,468,,7.5,1,647,390
2025-09-11,56,75,10582,21,483,,7.1,0,681,401
2025-09-12,56,79,8814,29,516,,6.7,1,654,422
2025-09-13,60,79,9217,27,453,98,7.1,1,638,410
2025-09-14,61,81,7536,29,413,97,6.9,1,624,393
2025-09-15,59,76,8182,32,544,,7.3,0,667,399
2025-09-16,60,74,8696,22,514,,7.3,0,660,392
2025-09-17,57,75,10068,22,431,98,7.7,0,652,411
2025-09-18,56,80,9290,32,467,,6.9,1,632,398
2025-09-19,58,72,9642,30,554,96,7,1,652,390
2025-09-20,59,80,9132,25,509,,7.4,0,650,419
2025-09-21,59,74,8661,20,488,,7.1,0,641,380
2025-09-22,61,77,8173,39,486,,6.8,0,653,429
2025-09-24,61,77,8544,27,553,,7.6,0,682,385
2025-09-25,57,79,9973,39,512,96,7.3,0,682,403
2025-09-26,57,73,8681,25,542,,7.2,0,631,415
2025-09-27,56,72,9491,28,568,,6.5,1,624,389
2025-09-28,60,79,10577,26,488,97,7.3,1,644,418
2025-09-29,58,71,7465,24,467,,7.6,1,670,403
2025-09-30,60,77,8295,21,409,,6.9,1,624,428
2025-10-01,58,79,9025,20,456,96,6.6,1,669,423
2025-10-02,60,81,9387,28,432,97,7.7,1,654,410
2025-10-03,56,80,8913,24,536,96,7.1,1,654,381
2025-10-04,61,75,7524,21,513,,7.5,0,643,401
2025-10-05,58,71,9180,29,530,,6.8,0,618,391
2025-10-06,57,75,8242,33,484,,7.6,0,680,387
2025-10-07,60,76,9765,36,437,,7.3,0,679,421
2025-10-08,61,79,8592,31,437,97,7.3,0,671,403
2025-10-09,57,77,7395,35,440,96,7.6,0,649,423
2025-10-10,59,79,8972,37,397,,6.9,0,652,425
2025-10-11,60,76,8031,36,557,97,6.8,0,674,410
2025-10-12,60,77,9802,36,552,,7.5,1,633,384
2025-10-13,57,71,8938,21,450,97,7.7,0,627,413
2025-10-14,58,78,7580,32,525,,6.8,0,638,403
2025-10-15,58,81,8924,20,398,,7.3,1,673,407
2025-10-16,56,73,6784,32,429,,7.3,1,636,412
2025-10-17,60,81,9612,32,507,,6.9,0,626,392
2025-10-18,60,82,7958,36,536,96,7.1,1,648,416
2025-10-21,56,74,8330,23,520,,7.1,0,613,414
2025-10-22,57,76,9300,22,494,97,6.9,1,682,414
2025-10-23,60,78,9298,34,537,,7.1,0,615,396
2025-10-24,56,74,9202,39,446,97,7,0,621,421
2025-10-26,60,75,8292,31,422,98,6.7,0,666,381
2025-10-27,60,80,8530,23,482,96,6.9,0,639,399
2025-10-28,59,82,8947,27,534,,7.4,1,655,393
2025-10-29,57,70,8652,38,570,,6.6,1,679,408
2025-10-31,56,75,9653,24,564,,6.9,1,668,406
2025-11-01,60,78,7967,28,497,97,6.9,0,639,387
2025-11-02,55,74,8000,27,463,97,7.6,0,675,417
2025-11-03,59,81,7879,33,451,,7.4,0,646,397
2025-11-04,57,80,8575,21,499,,7.3,1,658,406
2025-11-05,55,82,7734,27,519,97,7.6,0,639,404
2025-11-06,60,81,7613,30,519,,6.9,0,620,415
2025-11-07,58,75,6954,24,445,,6.5,1,665,401
2025-11-08,55,80,7661,37,549,96,7.5,1,637,419
2025-11-09,57,73,8193,25,408,,7.3,0,671,417
2025-11-10,57,72,7894,25,561,,7.5,1,676,423
2025-11-11,55,75,9974,25,394,98,7.5,1,616,397
2025-11-12,56,78,7319,21,563,,6.8,0,667,380
2025-11-13,56,72,9990,27,461,,7.2,0,671,409
2025-11-14,56,80,7697,21,498,,6.8,1,672,422
2025-11-15,60,70,9826,25,433,,6.7,1,621,399
2025-11-16,55,77,9651,30,471,,7,0,634,423
